date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:48:28	28556/28556	---M--	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2009:42:13%20GMT	https://zenon.network/fonts/CircularStd-Bold.woff2	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/CircularStd-Bold.html	(from https://zenon.network/css/styles.css)
21:48:28	38952/38952	---MCZ	200	added ('OK')	application/font-woff	date:Sun,%2022%20Aug%202021%2009:42:13%20GMT	https://zenon.network/fonts/CircularStd-Bold.woff	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/CircularStd-Bold.woff	(from https://zenon.network/css/styles.css)
21:48:29	86372/86372	---MCZ	200	added ('OK')	application/font-sfnt	date:Sun,%2022%20Aug%202021%2009:42:14%20GMT	https://zenon.network/fonts/CircularStd-Bold.ttf	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/CircularStd-Bold.ttf	(from https://zenon.network/css/styles.css)
21:48:29	86112/86112	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2022%20Aug%202021%2009:42:14%20GMT	https://zenon.network/fonts/CircularStd-BlackItalic.eot	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/CircularStd-BlackItalic.eot	(from https://zenon.network/css/styles.css)
21:48:30	86112/86112	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2022%20Aug%202021%2009:42:14%20GMT	https://zenon.network/fonts/CircularStd-BlackItalic.eot?	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/CircularStd-BlackItalicd41d.eot	(from https://zenon.network/css/styles.css)
21:48:31	31312/31312	---M--	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2009:42:13%20GMT	https://zenon.network/fonts/CircularStd-BlackItalic.woff2	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/CircularStd-BlackItalic.html	(from https://zenon.network/css/styles.css)
21:48:31	42628/42628	---MCZ	200	added ('OK')	application/font-woff	date:Sun,%2022%20Aug%202021%2009:42:13%20GMT	https://zenon.network/fonts/CircularStd-BlackItalic.woff	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/CircularStd-BlackItalic.woff	(from https://zenon.network/css/styles.css)
21:48:32	85852/85852	---MCZ	200	added ('OK')	application/font-sfnt	date:Sun,%2022%20Aug%202021%2009:42:14%20GMT	https://zenon.network/fonts/CircularStd-BlackItalic.ttf	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/CircularStd-BlackItalic.ttf	(from https://zenon.network/css/styles.css)
21:48:32	86104/86104	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2022%20Aug%202021%2009:42:14%20GMT	https://zenon.network/fonts/CircularStd-BoldItalic.eot	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/CircularStd-BoldItalic.eot	(from https://zenon.network/css/styles.css)
21:48:33	86104/86104	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2022%20Aug%202021%2009:42:14%20GMT	https://zenon.network/fonts/CircularStd-BoldItalic.eot?	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/CircularStd-BoldItalicd41d.eot	(from https://zenon.network/css/styles.css)
